id;name;developer;publisher;releaseDate;gender;description;stock;price;onOfferPrice;available;onOffer;isNew;URL
56;The Legend of Zelda: Tears of the Kingdom;Nintendo;Nintendo;12/05/2023;Acci¢n, Aventura;"Te aguarda un âpico viaje en el que recorrerÊs las tierras y los vastos cielos de Hyrule en The Legend of Zelda: Tears of the Kingdom para Nintendo Switch. Crea tu propia aventura en este mundo donde el lÁmite es tu imaginaci¢n.

En la secuela de The Legend of Zelda: Breath of the Wild, t£ decidirÊs quâ camino seguir a lo largo de los inmensos paisajes de Hyrule y las misteriosas islas que flotan allÊ arriba en el cielo. ¬LograrÊs dominar el poder de las nuevas habilidades de Link y luchar contra las fuerzas malâvolas que amenazan al reino?";200;70;0;true;0;true;https://media.vandal.net/m/74464/the-legend-of-zelda-tears-of-the-kingdom-202291410341410_1.jpg
57;Diablo IV;Blizzard Entertainment, Blizzard Entertainment Inc.;Blizzard Entertainment, Blizzard Entertainment Inc.;06/05/2023;Un solo jugador, Acci—n, Aventura;Diablo IV es un RPG de acci—n de nueva generaci—n en el que tendr‡s que acabar con incontables males, dominar un sinf’n de facultades, superar mazmorras de pesadilla y coleccionar bot’n legendario. Emb‡rcate en la campa–a por tu cuenta o con amigos, conoce personajes memorables en escenarios de siniestra belleza y una historia fascinante, o disfruta a tu gusto del mundo compartido y del contenido del final del juego donde podr‡s encontrarte con otros jugadores para comerciar, luchar contra jefes del mundo o entrar en zonas JcJ para ponerte a prueba - sin pasar por salas previas -, con juego cruzado y progresi—n cruzada en todas las plataformas disponibles.;200;100;0;true;0;true;https://sm.ign.com/ign_latam/cover/d/diablo-iv/diablo-iv_vyyg.jpg
